time,evaluated,value,avgValue
202.0,500,0.32002951593860685,0.3289230375500281
310.0,1000,0.32886122649280547,0.32933737817710446
810.0,1500,0.3255744007236544,0.3291060583431283
1325.0,2000,0.33381473656593275,0.32903366568102127
1833.0,2500,0.32555492816362386,0.32896733927715044
2353.0,3000,0.3387117932572478,0.3287951836900076
3238.0,3500,0.3310388086092312,0.3286294001985835
4249.0,4000,0.320009368740712,0.328529329937978
5253.0,4500,0.3181162272071363,0.32834636381518584
6262.0,5000,0.31954351618530724,0.32813476235896855
7480.0,5500,0.3374721238357602,0.327894458828808
8980.0,6000,0.31929099093278196,0.3277130222185597
10524.0,6500,0.3289742664742665,0.32760906459397393
12038.0,7000,0.3338649303594956,0.3274757332589811
13702.0,7500,0.3172491723962312,0.32732954433486583
15431.0,8000,0.3176335764691929,0.32725104233918234
15568.0,8500,0.3260212514757969,0.3272862112234044
16046.0,9000,0.32106893106893103,0.3273246408086999
16548.0,9500,0.32089556277056275,0.3273737900227802
17053.0,10000,0.32262514575208073,0.3273942132195753
17715.0,10500,0.33271062271062274,0.3274220168836984
18651.0,11000,0.33145743145743145,0.3274226712500616
19651.0,11500,0.3314935064935065,0.3274206233993652
20887.0,12000,0.32126338573707,0.32741100956204894
21896.0,12500,0.33426335959122844,0.3273868229933068
23163.0,13000,0.3253665763826191,0.32732956001843666
24785.0,13500,0.3228514993220875,0.32726889566939704
26290.0,14000,0.3186546545242197,0.32721978545389996
27825.0,14500,0.34854596384008146,0.32715909598450826
29863.0,15000,0.33290018062745336,0.32712160820103237
31919.0,15500,0.3114453386988598,0.3270694067493337
33927.0,16000,0.3323376623376623,0.3270324044611137
36123.0,16500,0.3270246271014517,0.3269639565319614
38312.0,17000,0.331022126022126,0.3269131162573571
40741.0,17500,0.32721763085399447,0.3268783215617986
43062.0,18000,0.3294979647218453,0.3268361463818247
45543.0,18500,0.3194850763271816,0.3267753556595247
48150.0,19000,0.3284718690732738,0.3267279195519899
50721.0,19500,0.31835162422118946,0.3266664099978494
53841.0,20000,0.3202716607064433,0.3266162856137765
56480.0,20500,0.31987340941886394,0.326571338876632
59450.0,21000,0.3257172623641214,0.3265113985490067
60386.0,21500,0.3253540903540903,0.3265334750375148
60906.0,22000,0.3197580850522027,0.32656721697617097
61407.0,22500,0.32051240955052207,0.32660809755063513
62047.0,23000,0.32931577194735095,0.3266353658999784
63193.0,23500,0.328155863744099,0.32664997324426764
64212.0,24000,0.31878066378066383,0.3266673369029063
65298.0,24500,0.3303908128908129,0.32669382274617537
66396.0,25000,0.32566657223373635,0.32670140170724243
67851.0,25500,0.3427705627705628,0.32680295900198925
69371.0,26000,0.31975556430101887,0.3269173209517769
70893.0,26500,0.3182228125409944,0.32701641143867877
72413.0,27000,0.33083874458874457,0.32709723911734484
74527.0,27500,0.3389448839448839,0.3271722476805205
76629.0,28000,0.3405988455988456,0.3272308418986872
78629.0,28500,0.34374852420306967,0.32728834425635833
80765.0,29000,0.32875420875420874,0.3273396397579051
83269.0,29500,0.34176749410926627,0.32740188140843934
86032.0,30000,0.3266983016983017,0.3274485911060736
88532.0,30500,0.31881250392119953,0.3274957365319238
91050.0,31000,0.3405483405483405,0.32753870288062487
93834.0,31500,0.33537305831423486,0.3275785248409334
96991.0,32000,0.3439011968423733,0.3276161708330469
100110.0,32500,0.3315596609962807,0.32765258205821407
103237.0,33000,0.3359018759018759,0.32774734389533977
106721.0,33500,0.3292596989655813,0.32785065003430386
110221.0,34000,0.3318792971734148,0.32796605568456966
113721.0,34500,0.3357503607503608,0.32805910168627733
117521.0,35000,0.3350432900432901,0.3282053273979345
121172.0,35500,0.33369196531168366,0.3283625938440664
125189.0,36000,0.34526085026085024,0.3285138317746832
129193.0,36500,0.3336679475046464,0.3286400043432965
133336.0,37000,0.3409138886120983,0.32879328728965596
137516.0,37500,0.3338408346693351,0.32894925929414687
141953.0,38000,0.34496919527648234,0.32911540417537544
146647.0,38500,0.34748917748917746,0.32926418145240244
151255.0,39000,0.3374631407240103,0.32940285247485435
155889.0,39500,0.3422040770175099,0.3295397105697955
