time,evaluated,value,avgValue
747.0,7560,0.8996153846153846,0.8996153846153846
1125.0,15120,0.8996153846153846,0.8996153846153846
1476.0,22680,0.8996153846153846,0.8996153846153846
1817.0,30240,0.8996153846153846,0.8996153846153846
2163.0,37800,0.8996153846153846,0.8996153846153845
2533.0,45360,0.8996153846153846,0.8996153846153846
2908.0,52920,0.8996153846153846,0.8996153846153846
3255.0,60480,0.8996153846153846,0.8996153846153846
3593.0,68040,0.8996153846153846,0.8996153846153846
3936.0,75600,0.8996153846153846,0.8996153846153845
4269.0,83160,0.8996153846153846,0.8996153846153845
4612.0,90720,0.8996153846153846,0.8996153846153844
4944.0,98280,0.8996153846153846,0.8996153846153844
5269.0,105840,0.8996153846153846,0.8996153846153844
5595.0,113400,0.8996153846153846,0.8996153846153843
5920.0,120960,0.8996153846153846,0.8996153846153843
6253.0,128520,0.8996153846153846,0.8996153846153843
6585.0,136080,0.8996153846153846,0.8996153846153843
6917.0,143640,0.8996153846153846,0.8996153846153842
7249.0,151200,0.8996153846153846,0.8996153846153842
7581.0,158760,0.8996153846153846,0.8996153846153842
7906.0,166320,0.8996153846153846,0.8996153846153842
8239.0,173880,0.8996153846153846,0.8996153846153842
8636.0,181440,0.8996153846153846,0.8996153846153842
8969.0,189000,0.8996153846153846,0.8996153846153842
9334.0,196560,0.8996153846153846,0.899615384615384
9677.0,204120,0.8996153846153846,0.899615384615384
10014.0,211680,0.8996153846153846,0.899615384615384
10338.0,219240,0.8996153846153846,0.899615384615384
10666.0,226800,0.8996153846153846,0.899615384615384
10993.0,234360,0.8996153846153846,0.899615384615384
11321.0,241920,0.8996153846153846,0.899615384615384
11659.0,249480,0.8996153846153846,0.899615384615384
11983.0,257040,0.8996153846153846,0.899615384615384
12312.0,264600,0.8996153846153846,0.899615384615384
12647.0,272160,0.8996153846153846,0.899615384615384
12973.0,279720,0.8996153846153846,0.8996153846153842
13331.0,287280,0.9045857988165681,0.8997461849890995
13671.0,294840,0.9045857988165681,0.8998702776513423
14001.0,302400,0.9045857988165681,0.899988165680473
14334.0,309960,0.9045857988165681,0.9001003030740363
14667.0,317520,0.9045857988165681,0.9002071005917157
15023.0,325080,0.9045857988165681,0.9003089307829913
15382.0,332640,0.9045857988165681,0.9004061323292091
15747.0,340200,0.9045857988165681,0.9004990138067059
16077.0,347760,0.9045857988165681,0.9005878569590943
16456.0,355320,0.9045857988165681,0.9006729195518065
16778.0,362880,0.9045857988165681,0.9007544378698223
17101.0,370440,0.9045857988165681,0.900832628909552
17425.0,378000,0.9045857988165681,0.9009076923076923
17747.0,385560,0.9045857988165681,0.9009798120431605
18073.0,393120,0.9045857988165681,0.9010491579426491
18408.0,400680,0.9045857988165681,0.9011158870157419
18737.0,408240,0.9045857988165681,0.9011801446416832
19069.0,415800,0.9045857988165681,0.9012420656266811
19415.0,423360,0.9045857988165681,0.9013017751479291
19739.0,430920,0.9045857988165681,0.9013593895982561
20064.0,438480,0.9045857988165681,0.9014150173433995
20391.0,446040,0.9045857988165681,0.9014687594022667
20721.0,453600,0.9045857988165681,0.9015207100591718
21051.0,461160,0.9045857988165681,0.9015709574158504
21379.0,468720,0.9045857988165681,0.9016195838900556
21702.0,476280,0.9045857988165681,0.9016666666666668
22031.0,483840,0.9045857988165681,0.9017122781065091
22356.0,491400,0.9045857988165681,0.9017564861174331
22686.0,498960,0.9045857988165681,0.9017993544916625
23013.0,506520,0.9045857988165681,0.9018409432129297
23336.0,514080,0.9045857988165681,0.9018813087365126
23661.0,521640,0.9045857988165681,0.9019205042449193
23986.0,529200,0.9045857988165681,0.9019585798816572
24309.0,536760,0.9045857988165681,0.9019955829652473
24635.0,544320,0.9045857988165681,0.9020315581854046
24964.0,551880,0.9045857988165681,0.9020665477830918
25292.0,559440,0.9045857988165681,0.9021005917159766
25615.0,567000,0.9045857988165681,0.9021337278106512
25945.0,574560,0.9045857988165681,0.9021659919028343
26276.0,582120,0.9045857988165681,0.9021974179666491
26596.0,589680,0.9045857988165681,0.9022280382339557
26927.0,597240,0.9045857988165681,0.9022578833046218
27267.0,604800,0.9045857988165681,0.9022869822485211
27606.0,612360,0.9045857988165681,0.9023153626999785
27929.0,619920,0.9045857988165681,0.9023430509453028
28249.0,627480,0.9045857988165681,0.9023700720039927
28576.0,635040,0.9045857988165681,0.9023964497041425
28899.0,642600,0.9045857988165681,0.9024222067525239
29225.0,650160,0.9045857988165681,0.9024473647997803
29549.0,657720,0.9045857988165681,0.9024719445011227
29873.0,665280,0.9045857988165681,0.9024959655728891
30219.0,672840,0.9045857988165681,0.90251944684529
30588.0,680400,0.9045857988165681,0.9025424063116375
30936.0,687960,0.9045857988165681,0.9025648611743291
31257.0,695520,0.9045857988165681,0.9025868278878317
31579.0,703080,0.9045857988165681,0.9026083221988934
31902.0,710640,0.9045857988165681,0.9026293591841879
32228.0,718200,0.9045857988165681,0.9026499532855813
32553.0,725760,0.9045857988165681,0.9026701183431958
32880.0,733320,0.9045857988165681,0.9026898676264264
33203.0,740880,0.9045857988165681,0.9027092138630606
33529.0,748440,0.9045857988165681,0.9027281692666314
33854.0,756000,0.9045857988165681,0.9027467455621307
34179.0,763560,0.9045857988165681,0.9027649540101944
34504.0,771120,0.9045857988165681,0.9027828054298648
34884.0,778680,0.9045857988165681,0.9028003102200269
35296.0,786240,0.9045857988165681,0.9028174783796091
35650.0,793800,0.9045857988165681,0.9028343195266277
35997.0,801360,0.9045857988165681,0.9028508429161556
36321.0,808920,0.9045857988165681,0.9028670574572809
