time,evaluated,value,avgValue
25455.0,10000,0.9315438620129762,0.9315438620129762
51070.0,20000,0.9315438620129762,0.9315438620129762
77356.0,30000,0.9401525076408527,0.9344134105556017
104923.0,40000,0.9401525076408527,0.9358481848269145
133623.0,50000,0.9436320010676987,0.9374049480750714
162021.0,60000,0.9436320010676987,0.9384427902405093
191116.0,70000,0.9436320010676987,0.9391841060729649
220399.0,80000,0.9436320010676987,0.9397400929473066
249676.0,90000,0.9436320010676987,0.9401725271829058
278480.0,100000,0.9436320010676987,0.940518474571385
307455.0,110000,0.9436320010676987,0.9408015224346862
336076.0,120000,0.9436320010676987,0.9410373956541038
365106.0,130000,0.9453746666700338,0.9413710318860985
394543.0,140000,0.9453746666700338,0.9416570057992367
424806.0,150000,0.9453746666700338,0.9419048498572898
455083.0,160000,0.9453746666700338,0.9421217134080864
485036.0,170000,0.9453746666700338,0.9423130635999657
514056.0,180000,0.9453746666700338,0.9424831526594138
543888.0,190000,0.9453746666700338,0.9426353376073413
574105.0,200000,0.9453746666700338,0.9427723040604759
603086.0,210000,0.9453746666700338,0.9428962260895025
632599.0,220000,0.9453746666700338,0.9430088824795266
662644.0,230000,0.9453746666700338,0.9431117426617226
693280.0,240000,0.945398930719244,0.9432070421641193
725033.0,250000,0.945398930719244,0.9432947177063242
755567.0,260000,0.945398930719244,0.9433756489760519
786967.0,270000,0.945398930719244,0.9434505853369108
818553.0,280000,0.945398930719244,0.9435201691005656
849909.0,290000,0.945398930719244,0.9435849539839682
880738.0,300000,0.945398930719244,0.943645419875144
913520.0,310000,0.945398930719244,0.9437019847410827
944365.0,320000,0.945398930719244,0.9437550143029002
975916.0,330000,0.945398930719244,0.9438048299518803
1007219.0,340000,0.945398930719244,0.9438517152685675
1038015.0,350000,0.945398930719244,0.9438959214243011
1069513.0,360000,0.945398930719244,0.943937671682494
1100478.0,370000,0.945398930719244,0.9439771651699737
1132148.0,380000,0.945398930719244,0.9440145800528491
1163013.0,390000,0.945398930719244,0.9440500762237823
1193885.0,400000,0.945398930719244,0.9440837975861689
1224982.0,410000,0.945398930719244,0.9441158740040487
1256999.0,420000,0.945398930719244,0.9441464229734581
1287491.0,430000,0.945398930719244,0.9441755510605694
1319898.0,440000,0.9536253963262322,0.9443903202711526
1351520.0,450000,0.9536253963262322,0.9445955441834877
1383754.0,460000,0.9536253963262322,0.9447918453170255
